id,lat,lng,date_taken,state
--8ugmaFo0hC78m5U_iftg,-28.492243127358886,-54.467401829287255,2011-10,Rio Grande do Sul
-4ZgJ4OioT8GPafVabuITA,-29.604893154419162,-51.95374395278045,2022-07,Rio Grande do Sul
-6zspyxHdBv9v0ZHkJ5zbg,-29.936890252375264,-54.379415783907916,2022-10,Rio Grande do Sul
-8pbBqTt3LY-zEy_ZSRFVQ,-27.787646292069386,-52.79532631689716,2012-10,Rio Grande do Sul
-AIJnNN4X_chX2WpLKnsIA,-29.220015499425877,-49.8988617510123,2019-03,Rio Grande do Sul
-MtxQ-DwYzMVR-UK9hKR_w,-27.289582419983404,-53.165283388921566,2022-10,Rio Grande do Sul
-UkfFIsQIQ4TCx4pIg11xA,-28.666113595972647,-53.848813902809134,2021-11,Rio Grande do Sul
-_y1dPsADgibPSvhOUZ08g,-29.062072403590065,-52.614159955388146,2022-07,Rio Grande do Sul
-b9P5MBnSSfZRwrOoLmAGQ,-28.965615880404044,-52.06426650132811,2022-07,Rio Grande do Sul
-dt7O0vobyFUg-yRZIrOWw,-27.84508801401199,-52.43507722791975,2018-12,Rio Grande do Sul
-kOZFB0DoX6IXsAJfV6cVg,-29.767206151307022,-51.947695091411674,2019-03,Rio Grande do Sul
-rMHpWUl_J1qaeWtfeYP3w,-32.00388422126541,-52.91497866307403,2011-09,Rio Grande do Sul
03aQtgANMi8AYRZFQKNdxA,-30.079315843344258,-50.776894381926084,2023-04,Rio Grande do Sul
0DULGpJS32z1sFIbu1ylQQ,-29.65917955066155,-51.603686250279225,2023-03,Rio Grande do Sul
0FuD4BQoaiv04c69ZEtlIA,-29.512134006326963,-51.48636739601143,2022-06,Rio Grande do Sul
0lMLlBAvjXJ2sGWmBgT4cQ,-29.936573903315736,-51.69444881946518,2023-03,Rio Grande do Sul
0xpsv1rc-OeczrpE06pEwg,-29.172430762763362,-51.895640829295644,2022-07,Rio Grande do Sul
1BMOnDanmKtW0vPk77r66w,-30.306470899840434,-51.007995717405365,2023-04,Rio Grande do Sul
1CW0n9UHbbtAVLXb6UPSpA,-27.707014803606842,-54.10877181647717,2019-02,Rio Grande do Sul
1HUbU2g0UB7JnKEAw0Kfiw,-29.15165569327662,-51.863774779079684,2022-07,Rio Grande do Sul
1kFQacaMsScGtwHAzGQ6-Q,-27.31323373867218,-52.69000384584585,2022-08,Rio Grande do Sul
1ki93SwU2yIF1kwj9StDwA,-28.169016337274815,-54.32351473493486,2019-02,Rio Grande do Sul
1un_Nx8R2GIPPLwO3u3zTA,-28.227936343639193,-52.48508832431425,2023-04,Rio Grande do Sul
1w4f_ZecbNW0VMsIu-AOUw,-29.843983387585013,-50.06534640970448,2011-09,Rio Grande do Sul
25HigoYcENv81jwvfY8O_g,-29.03146063566233,-51.566393118841795,2022-08,Rio Grande do Sul
26rCeu2_Zeg9uRDqLwGb9g,-27.913391566932138,-53.88590548975383,2022-07,Rio Grande do Sul
2JCv1yL53IBxEpX_7vkfkA,-29.892606921429444,-50.72409123984461,2023-04,Rio Grande do Sul
2Qfk-3Q7BpPPyXZjiYKLpQ,-27.90723989354431,-51.45976625747964,2022-05,Rio Grande do Sul
2ePnIk27jPSgriwkn47vjA,-29.70755138876917,-53.28711304967261,2022-06,Rio Grande do Sul
2h0XzytT7B2oM4OTzBaLkA,-30.095639222040546,-55.27672980588052,2022-08,Rio Grande do Sul
2ogJwQPpfa5i-OzHF5X8FA,-28.231180737202486,-52.4012136288935,2022-07,Rio Grande do Sul
2wvAv9VIJzoYJRrzaXRcoQ,-28.27847657058642,-54.30438562621041,2022-10,Rio Grande do Sul
2yrHNChpNv5qN19yOJyrHg,-29.153541119851475,-55.954275006458914,2022-10,Rio Grande do Sul
35S-9DzSBjShHIOeK_vtjQ,-30.97896256473726,-53.64235747885363,2022-10,Rio Grande do Sul
